@relation 

@attribute id_or string
@attribute filename_or string

@data
29486550,OR292.txt
412719,OR293.txt
313757,OR294.txt
28427276,OR295.txt
31974803,OR296.txt
27896659,OR297.txt
2183361,OR298.txt
3166301,OR299.txt
1666253,OR300.txt
6884266,OR301.txt
14125179,OR302.txt
3991933,OR303.txt
1980551,OR304.txt
1324735,OR305.txt
4029625,OR306.txt
390774,OR307.txt
61180,OR308.txt
674172,OR309.txt
706792,OR310.txt
670318,OR311.txt
1094516,OR312.txt
4112307,OR313.txt
15763236,OR314.txt
8394851,OR315.txt
15943144,OR316.txt
16059037,OR317.txt
2103799,OR318.txt
626724,OR319.txt
5527832,OR320.txt
7094393,OR321.txt
12083679,OR322.txt
242855,OR323.txt
1045416,OR324.txt
13266427,OR325.txt
156766,OR326.txt
5195425,OR327.txt
2385032,OR328.txt
10715952,OR329.txt
1326625,OR330.txt
20899686,OR331.txt
426476,OR332.txt
3635120,OR333.txt
22639199,OR334.txt
1778238,OR335.txt
16487705,OR336.txt
802038,OR337.txt
19688911,OR338.txt
4789943,OR339.txt
342423,OR340.txt
1655568,OR341.txt
2595305,OR342.txt
1130027,OR343.txt
28819076,OR344.txt
21380464,OR345.txt
539702,OR346.txt
15942971,OR347.txt
97236,OR348.txt
19911298,OR349.txt
1638623,OR350.txt
2830712,OR351.txt
5452516,OR352.txt
2151258,OR353.txt
13627576,OR354.txt
3892280,OR355.txt
232537,OR356.txt
769753,OR357.txt
6273306,OR358.txt
413865,OR359.txt
974779,OR360.txt
419068,OR361.txt
582389,OR362.txt
1558403,OR363.txt
12150650,OR364.txt
13378086,OR365.txt
596065,OR366.txt
350685,OR367.txt
2399437,OR368.txt
3447231,OR369.txt
8923593,OR370.txt
27172704,OR371.txt
31047069,OR372.txt
433837,OR373.txt
22795919,OR374.txt
1912302,OR375.txt
4012583,OR376.txt
3460738,OR377.txt
1172067,OR378.txt
1119090,OR379.txt
22448394,OR380.txt
159612,OR381.txt
1551981,OR382.txt
16615357,OR383.txt
9358379,OR384.txt
8681632,OR385.txt
19662109,OR386.txt
16522781,OR387.txt
2987044,OR388.txt
922804,OR389.txt
8307652,OR390.txt
3638233,OR391.txt
3247786,OR392.txt
2965380,OR393.txt
1381019,OR394.txt
622837,OR395.txt
25055990,OR396.txt
6578307,OR397.txt
4424011,OR398.txt
3383705,OR399.txt
