@relation 

@attribute id_nf string
@attribute filename_nf string

@data
3175648,NF0.txt
6474081,NF1.txt
19679234,NF2.txt
15325348,NF3.txt
2728914,NF4.txt
6091302,NF5.txt
8923016,NF6.txt
19936842,NF7.txt
2210338,NF8.txt
18145584,NF9.txt
11790995,NF10.txt
22089363,NF11.txt
21822789,NF12.txt
27285221,NF13.txt
3266662,NF14.txt
5815874,NF15.txt
1505384,NF16.txt
18970954,NF17.txt
15313846,NF18.txt
32970315,NF19.txt
19400830,NF20.txt
2164734,NF21.txt
2227784,NF22.txt
22500963,NF23.txt
321831,NF24.txt
3589836,NF25.txt
32008416,NF26.txt
12310646,NF27.txt
12421386,NF28.txt
27007931,NF29.txt
245787,NF30.txt
32098287,NF31.txt
30101432,NF32.txt
32029337,NF33.txt
16668718,NF34.txt
17409297,NF35.txt
27804858,NF36.txt
12520783,NF37.txt
10255528,NF38.txt
5402883,NF39.txt
3095421,NF40.txt
21501661,NF41.txt
25904497,NF42.txt
22129838,NF43.txt
21913090,NF44.txt
5230474,NF45.txt
16440500,NF46.txt
2390892,NF47.txt
26939260,NF48.txt
24162615,NF49.txt
14185917,NF50.txt
663772,NF51.txt
3586431,NF52.txt
2611119,NF53.txt
28996326,NF54.txt
3392617,NF55.txt
2055773,NF56.txt
8983634,NF57.txt
15669906,NF58.txt
8853149,NF59.txt
119418,NF60.txt
4924575,NF61.txt
31430357,NF62.txt
25424966,NF63.txt
25284263,NF64.txt
2604613,NF65.txt
9369671,NF66.txt
12187128,NF67.txt
31471898,NF68.txt
8104856,NF69.txt
1612372,NF70.txt
8166204,NF71.txt
3217955,NF72.txt
1579876,NF73.txt
19102539,NF74.txt
24868150,NF75.txt
122513,NF76.txt
6902870,NF77.txt
14086866,NF78.txt
2101650,NF79.txt
8858412,NF80.txt
6003806,NF81.txt
31742375,NF82.txt
30890776,NF83.txt
2906699,NF84.txt
6308814,NF85.txt
376186,NF86.txt
1635189,NF87.txt
14979031,NF88.txt
5597030,NF89.txt
1645518,NF90.txt
19140381,NF91.txt
9496092,NF92.txt
582930,NF93.txt
2430816,NF94.txt
19415058,NF95.txt
26393271,NF96.txt
17067121,NF97.txt
31721832,NF98.txt
13480420,NF99.txt
9223706,NF100.txt
1455734,NF101.txt
2768996,NF102.txt
22335703,NF103.txt
5120866,NF104.txt
1025722,NF105.txt
33217832,NF106.txt
13973494,NF107.txt
108969,NF108.txt
11825592,NF109.txt
405777,NF110.txt
21106185,NF111.txt
22509762,NF112.txt
6809188,NF113.txt
1384924,NF114.txt
15462072,NF115.txt
1763786,NF116.txt
4286624,NF117.txt
7722968,NF118.txt
23975548,NF119.txt
16372080,NF120.txt
463408,NF121.txt
25665177,NF122.txt
3401776,NF123.txt
7162122,NF124.txt
26724037,NF125.txt
323221,NF126.txt
923136,NF127.txt
6811569,NF128.txt
30601087,NF129.txt
5318329,NF130.txt
12935747,NF131.txt
6552234,NF132.txt
11867685,NF133.txt
1044604,NF134.txt
32038071,NF135.txt
17555848,NF136.txt
1803382,NF137.txt
20474388,NF138.txt
32972635,NF139.txt
4555137,NF140.txt
31692796,NF141.txt
6540117,NF142.txt
18639734,NF143.txt
1843114,NF144.txt
13672894,NF145.txt
30428426,NF146.txt
32950377,NF147.txt
7293508,NF148.txt
8117329,NF149.txt
8283271,NF150.txt
31983153,NF151.txt
6441444,NF152.txt
19519005,NF153.txt
234771,NF154.txt
2694757,NF155.txt
19970233,NF156.txt
2536473,NF157.txt
19494199,NF158.txt
24400667,NF159.txt
18985871,NF160.txt
136557,NF161.txt
26705820,NF162.txt
210998,NF163.txt
29425657,NF164.txt
14311325,NF165.txt
32061157,NF166.txt
117096,NF167.txt
3039760,NF168.txt
5894888,NF169.txt
54245,NF170.txt
3193708,NF171.txt
8144725,NF172.txt
18174259,NF173.txt
1958466,NF174.txt
2887843,NF175.txt
2723044,NF176.txt
15501212,NF177.txt
12006719,NF178.txt
1652006,NF179.txt
23181107,NF180.txt
10384061,NF181.txt
390960,NF182.txt
20275949,NF183.txt
15690513,NF184.txt
20137759,NF185.txt
6213452,NF186.txt
8909882,NF187.txt
20748715,NF188.txt
22222710,NF189.txt
4787846,NF190.txt
13519320,NF191.txt
26130683,NF192.txt
5807339,NF193.txt
19732436,NF194.txt
3405091,NF195.txt
23044156,NF196.txt
12799422,NF197.txt
45769,NF198.txt
878757,NF199.txt
2049992,NF200.txt
28010746,NF201.txt
5362701,NF202.txt
23936744,NF203.txt
31455111,NF204.txt
3350539,NF205.txt
1952673,NF206.txt
31318276,NF207.txt
2556576,NF208.txt
8456140,NF209.txt
3626085,NF210.txt
12822465,NF211.txt
928899,NF212.txt
9354818,NF213.txt
1702335,NF214.txt
10510138,NF215.txt
985310,NF216.txt
12431617,NF217.txt
10300389,NF218.txt
32263764,NF219.txt
16594771,NF220.txt
4493005,NF221.txt
31202815,NF222.txt
708658,NF223.txt
30730052,NF224.txt
5693907,NF225.txt
4502938,NF226.txt
13398969,NF227.txt
18307800,NF228.txt
22844853,NF229.txt
31527548,NF230.txt
31498527,NF231.txt
9362215,NF232.txt
30757101,NF233.txt
30258098,NF234.txt
26914089,NF235.txt
6849092,NF236.txt
21485136,NF237.txt
229667,NF238.txt
19020112,NF239.txt
4357818,NF240.txt
6246347,NF241.txt
6584319,NF242.txt
22877023,NF243.txt
25472632,NF244.txt
9783564,NF245.txt
11160081,NF246.txt
823737,NF247.txt
12909766,NF248.txt
2177569,NF249.txt
22131827,NF250.txt
17594630,NF251.txt
3443046,NF252.txt
20599738,NF253.txt
7569340,NF254.txt
17622336,NF255.txt
10671796,NF256.txt
208350,NF257.txt
30922946,NF258.txt
6334381,NF259.txt
5581302,NF260.txt
3127469,NF261.txt
19838027,NF262.txt
1071107,NF263.txt
25393356,NF264.txt
2784337,NF265.txt
21754693,NF266.txt
27244864,NF267.txt
4769325,NF268.txt
24247569,NF269.txt
4428370,NF270.txt
1582749,NF271.txt
334411,NF272.txt
29049556,NF273.txt
1590153,NF274.txt
4909948,NF275.txt
21716455,NF276.txt
30950443,NF277.txt
24742495,NF278.txt
6281658,NF279.txt
21998474,NF280.txt
19830953,NF281.txt
4800614,NF282.txt
13037119,NF283.txt
9959648,NF284.txt
19215201,NF285.txt
3460404,NF286.txt
23343888,NF287.txt
1654683,NF288.txt
849238,NF289.txt
11936417,NF290.txt
20775726,NF291.txt
102074,NF292.txt
3476095,NF293.txt
32142083,NF294.txt
25573268,NF295.txt
33262102,NF296.txt
1202411,NF297.txt
27912265,NF298.txt
9772036,NF299.txt
19556043,NF300.txt
766939,NF301.txt
96004,NF302.txt
22226172,NF303.txt
26613531,NF304.txt
9006720,NF305.txt
1574732,NF306.txt
29941045,NF307.txt
25366148,NF308.txt
13609694,NF309.txt
22295683,NF310.txt
5427417,NF311.txt
11710610,NF312.txt
12844983,NF313.txt
20501588,NF314.txt
14431420,NF315.txt
4115980,NF316.txt
7893068,NF317.txt
29567755,NF318.txt
3388381,NF319.txt
3212707,NF320.txt
15809781,NF321.txt
15442705,NF322.txt
592598,NF323.txt
4301166,NF324.txt
14587003,NF325.txt
23662612,NF326.txt
13256889,NF327.txt
18864177,NF328.txt
32617624,NF329.txt
23548671,NF330.txt
8238382,NF331.txt
28838661,NF332.txt
28747280,NF333.txt
13668965,NF334.txt
31607765,NF335.txt
3976312,NF336.txt
10074568,NF337.txt
12035750,NF338.txt
7748163,NF339.txt
14446379,NF340.txt
27292040,NF341.txt
25263707,NF342.txt
32173978,NF343.txt
30691498,NF344.txt
824849,NF345.txt
598524,NF346.txt
9287743,NF347.txt
22856828,NF348.txt
3075236,NF349.txt
17608251,NF350.txt
4151057,NF351.txt
7188324,NF352.txt
8180296,NF353.txt
16372334,NF354.txt
